Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
185796	0.004275	0.012087	0.001770	0.002614	0.002527	0.001627	0.000414	-10438.673
185798	0.004718	0.012969	0.001954	0.002740	0.002928	0.001790	0.000436	-10438.482
185800	0.004718	0.012969	0.001954	0.002783	0.002913	0.001769	0.000438	-10453.098
185802	0.004718	0.012969	0.001954	0.002782	0.002854	0.001769	0.000447	-10432.995
185804	0.004111	0.011655	0.001702	0.002370	0.002437	0.001568	0.000397	-10450.088
185806	0.004538	0.012867	0.001879	0.002799	0.002691	0.001745	0.000439	-10451.614
185808	0.005032	0.014267	0.002084	0.003625	0.002898	0.001903	0.000501	-10433.816
185810	0.005032	0.014267	0.002084	0.003620	0.002872	0.001905	0.000505	-10435.936
185812	0.004760	0.014267	0.002084	0.003622	0.002884	0.001904	0.000503	-10426.699
185814	0.004082	0.012234	0.001787	0.002770	0.002505	0.001640	0.000426	-10433.624
185816	0.004082	0.012234	0.001787	0.002724	0.002345	0.001660	0.000455	-10413.987
185818	0.004795	0.014371	0.002099	0.003238	0.002823	0.001933	0.000521	-10404.757
185820	0.004040	0.012108	0.001768	0.002438	0.002518	0.001633	0.000438	-10427.297
185822	0.004185	0.012542	0.001832	0.002541	0.002617	0.001684	0.000452	-10412.490
185824	0.004316	0.012963	0.001951	0.002617	0.002662	0.001739	0.000472	-10436.542
185826	0.004316	0.012963	0.001951	0.002582	0.002753	0.001756	0.000457	-10425.044
185828	0.004127	0.012395	0.001865	0.002422	0.002569	0.001703	0.000448	-10433.776
185830	0.004059	0.011878	0.001858	0.002406	0.002521	0.001712	0.000456	-10427.664
185832	0.004336	0.012690	0.001984	0.002530	0.002734	0.001850	0.000480	-10432.705
185834	0.004693	0.013734	0.002607	0.003361	0.002879	0.002010	0.000534	-10418.819
185836	0.004647	0.012847	0.002467	0.003186	0.002656	0.001900	0.000519	-10428.363
185838	0.004647	0.012847	0.002467	0.003137	0.002643	0.001921	0.000521	-10429.761
185840	0.004647	0.012847	0.002467	0.003406	0.002678	0.001919	0.000514	-10447.115
185842	0.004647	0.012526	0.002467	0.003695	0.002678	0.001887	0.000514	-10411.990
185844	0.005230	0.014096	0.002777	0.003914	0.003144	0.002124	0.000555	-10402.997
185846	0.005230	0.014096	0.002777	0.003957	0.003164	0.002107	0.000551	-10405.106
185848	0.004406	0.011875	0.002339	0.003811	0.002630	0.001764	0.000471	-10433.991
185850	0.004772	0.012864	0.002534	0.003731	0.002922	0.001910	0.000497	-10426.361
185852	0.004718	0.012864	0.002534	0.003741	0.002836	0.001907	0.000512	-10412.771
185854	0.004718	0.012864	0.002534	0.004173	0.003140	0.001878	0.000495	-10423.791
185856	0.004959	0.013829	0.002664	0.004107	0.003160	0.001973	0.000544	-10416.042
185858	0.005918	0.016502	0.003179	0.005434	0.004358	0.002331	0.000630	-10424.028
185860	0.005918	0.016502	0.003179	0.005302	0.004446	0.002310	0.000618	-10427.014
185862	0.006698	0.017824	0.003433	0.005334	0.004742	0.002502	0.000676	-10405.140
185864	0.005397	0.014878	0.002860	0.004475	0.003903	0.002073	0.000569	-10437.794
185866	0.005780	0.015934	0.003063	0.004855	0.004041	0.002199	0.000631	-10448.365
185868	0.005780	0.015934	0.003063	0.004899	0.004135	0.002185	0.000623	-10418.064
185870	0.005694	0.015697	0.003018	0.004822	0.004074	0.002154	0.000614	-10420.484
185872	0.005694	0.015697	0.003018	0.004629	0.004120	0.002168	0.000607	-10449.928
185874	0.005694	0.015994	0.002297	0.004624	0.003866	0.002170	0.000614	-10470.772
185876	0.005185	0.014565	0.002092	0.004206	0.003461	0.001978	0.000569	-10439.591
185878	0.005815	0.016335	0.002347	0.004373	0.003834	0.002234	0.000646	-10427.012
185880	0.005126	0.013791	0.001981	0.003684	0.003198	0.001889	0.000552	-10433.901
185882	0.004324	0.011633	0.001671	0.003106	0.002742	0.001594	0.000458	-10432.089
185884	0.004519	0.012158	0.001747	0.003198	0.002932	0.001684	0.000468	-10435.987
185886	0.004940	0.013290	0.001983	0.003775	0.003205	0.001843	0.000512	-10442.565
185888	0.004779	0.012598	0.001918	0.003688	0.003211	0.001770	0.000478	-10443.947
